universal-id,nces-id,state-id,name,school-summary,type,level,street,city,state,zip,fipscounty,phone,fax,county,lat,lon,district-name,district-id,web-site,overview-url,rating,year,distance
4807302,01323315,227100104,St Ignatius Martyr School,"St Ignatius Martyr School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",120 West Oltorf Street,Austin,TX,78704,48453,(512) 442-8547,(512) 442-8685,Travis County,30.24016,-97.753586,,0,,https://www.greatschools.org/texas/austin/7302-St-Ignatius-Martyr-School/,,,0.26262104340909936
4800585,480894000361,227901140,Travis Heights Elementary School,"Travis Heights Elementary School, a charter school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",charter,"PK,KG,1,2,3,4,5",2010 Alameda Drive,Austin,TX,78704,48453,(512) 414-4495,(512) 442-9537,Travis County,30.241476,-97.745911,Austin Independent School District,115,http://www.travisheightselementary.com/,https://www.greatschools.org/texas/austin/585-Travis-Heights-Elementary-School/,6,2022,0.34027116706227395
4800539,480894000312,227901114,Dawson Elementary School,"Dawson Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",3001 South 1st Street,Austin,TX,78704,48453,(512) 414-2070,(512) 442-5765,Travis County,30.234201,-97.763611,Austin Independent School District,115,http://www.austinisd.org/schools/dawson,https://www.greatschools.org/texas/austin/539-Dawson-Elementary-School/,5,2022,0.8563530391340549
4818842,480894006356,227901115,Daep- El,"Daep- El, a public school located in Austin, TX, serves grades 3-5 in the Austin Independent School District.",public,"3,4,5",906 West Milton Street,Austin,TX,78704,48453,(512) 414-2074,(512) 472-9029,Travis County,30.250395,-97.759453,Austin Independent School District,115,,https://www.greatschools.org/texas/austin/18842-Daep--El/,,,1.0264335690407247
4800525,480894000298,227901104,Becker Elementary School,"Becker Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",906 West Milton Street,Austin,TX,78704,48453,(512) 414-2019,(512) 442-1759,Travis County,30.250395,-97.759453,Austin Independent School District,115,http://www.beckerelementary.com/,https://www.greatschools.org/texas/austin/525-Becker-Elementary-School/,6,2022,1.0264335690407247
4800556,480894000329,227901160,Linder Elementary School,"Linder Elementary School, a public school located in Austin, TX, serves grades 1-5 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"1,2,3,4,5",2801 Metcalfe Road,Austin,TX,78741,48453,(512) 414-2398,(512) 447-3222,Travis County,30.225952,-97.736069,Austin Independent School District,115,,https://www.greatschools.org/texas/austin/556-Linder-Elementary-School/,5,2022,1.175368349758286
4800614,480894006509,227901176,Galindo Elementary School,"Galindo Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 2 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",3800 South 2nd Street,Austin,TX,78704,48453,(512) 414-1756,(512) 414-0448,Travis County,30.229517,-97.771896,Austin Independent School District,115,https://www.austinisd.org/schools/galindo,https://www.greatschools.org/texas/austin/614-Galindo-Elementary-School/,2,2022,1.4349598593212123
4800579,480894000355,227901127,Sanchez Elementary School,"Sanchez Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",73 San Marcos Street,Austin,TX,78702,48453,(512) 414-4423,(512) 472-9493,Travis County,30.257992,-97.735054,Austin Independent School District,115,http://sanchez.austinschools.org/,https://www.greatschools.org/texas/austin/579-Sanchez-Elementary-School/,5,2022,1.6425135769942956
4800592,480894000369,227901146,Zilker Elementary School,"Zilker Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 8 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",1900 Bluebonnet Lane,Austin,TX,78704,48453,(512) 414-2327,(512) 442-3992,Travis County,30.252544,-97.774567,Austin Independent School District,115,http://www.zilkerelem.org/,https://www.greatschools.org/texas/austin/592-Zilker-Elementary-School/,8,2022,1.7793343855245007
4800581,480894000357,227901136,St Elmo El,"St Elmo El, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",600 West Saint Elmo Road,Austin,TX,78745,48453,(512) 414-4477,(512) 442-6871,Travis County,30.222063,-97.773376,Austin Independent School District,115,http://stelmo.austinschools.org/,https://www.greatschools.org/texas/austin/581-St-Elmo-El/,4,2022,1.779904432873103
4812815,,,El Buen Pastor Development Center,"El Buen Pastor Development Center, a private school located in Austin, TX, serves grades PK-K in the .",private,"PK,KG",1208 Willow Street,Austin,TX,78702,48453,(512) 476-4505,,Travis,30.259041,-97.732368,,0,,https://www.greatschools.org/texas/austin/12815-El-Buen-Pastor-Development-Center/,,,1.792815626281581
4824798,480024113063,227816005,Harmony School of Innovation,"Harmony School of Innovation, a charter school located in Austin, TX, serves grades PK-5 in the Harmony Science Academy (Austin).It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",charter,"PK,KG,1,2,3,4,5",2124 East Saint Elmo Road,Austin,TX,78744,48453,(512) 330-0895,(512) 330-4225,Travis County,30.210464,-97.745117,Harmony Science Academy (Austin),1276,http://hsiaustin.harmonytx.org/,https://www.greatschools.org/texas/austin/24798-Harmony-School-Of-Innovation/,6,2022,1.9249831607988368
4825899,A1503651,,Athena Montessori Academy,"Athena Montessori Academy, a private school located in Austin, TX, serves grades K in the .",private,KG,1503 Morgan Lane,Austin,TX,78704,48453,(512) 494-6237,,Travis County,30.229225,-97.781021,,0,,https://www.greatschools.org/texas/austin/25899-Athena-Montessori-Academy/,,,1.9510476344339918
4824325,BB122189,,Athena Montessori Academy,"Athena Montessori Academy, a private school located in Austin, TX, serves grades PK-K in the .",private,"PK,KG",1503 Morgan Lane,Austin,TX,78704,48453,(512) 494-6237,,Travis,30.229204,-97.781013,,0,http://athenamontessoriacademy.com/,https://www.greatschools.org/texas/austin/24325-Athena-Montessori-Academy/,,,1.9510479451203597
4825992,A1792084,,Integerity Academy,"Integerity Academy, a private school located in Austin, TX, serves grades Ungraded in the .",private,UG,1701 Toomey Road,Austin,TX,78704,48453,(512) 576-2166,,Travis County,30.264452,-97.76165,,0,,https://www.greatschools.org/texas/austin/25992-Integerity-Academy/,,,1.9557797606472218
4800562,480894000335,227901124,Metz Elementary School,"Metz Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",84 Robert T Martinez Junior Street,Austin,TX,78702,48453,(512) 414-4408,(512) 472-3412,Travis County,30.254284,-97.721725,Austin Independent School District,115,http://www.metzelem.tx.aie.schoolinsites.com/,https://www.greatschools.org/texas/austin/562-Metz-Elementary-School/,6,2022,2.0259708949010156
4819663,A0702187,,Austin City Academy,"Austin City Academy, a private school located in Austin, TX, serves grades K-3, 5-10, 12 in the .",private,"KG,1,2,3,5,6,7,8,9,10,12",P.O. Box 92737,Austin,TX,78709,48453,(512) 288-4883,,Travis,30.266899,-97.742798,,0,,https://www.greatschools.org/texas/austin/19663-Austin-City-Academy/,,,2.0413837349472455
4819670,A9904181,,Capitol City Baptist Church,"Capitol City Baptist Church, a private school located in Austin, TX, serves grades K-6 in the .",private,"KG,1,2,3,4,5,6",1300 Redd St,Austin,TX,78745,48453,(512) 447-9454,,Travis,30.224003,-97.782433,,0,,https://www.greatschools.org/texas/austin/19670-Capitol-City-Baptist-Church/,,,2.1667043632793566
4812909,,,Town & Country Children's Mont,"Town & Country Children's Mont, a private school located in Austin, TX, serves grades PK-K in the .",private,"PK,KG",3801 Keats Drive,Austin,TX,78704,48453,(512) 442-7722,,Travis,30.236187,-97.786797,,0,,https://www.greatschools.org/texas/austin/12909-Town--Country-Childrens-Mont/,,,2.202577951209813
4812897,,,St David's Episcopal Day Schoo,"St David's Episcopal Day Schoo, a private school located in Austin, TX, serves grades PK-K in the .",private,"PK,KG",301 East 8th Street,Austin,TX,78701,48453,(512) 472-1196,,Travis,30.268923,-97.739555,,0,,https://www.greatschools.org/texas/austin/12897-St-Davids-Episcopal-Day-Schoo/,,,2.2244149775684443
4824785,,,Austin Village Academy,"Austin Village Academy, a private school located in Austin, TX, serves grades K-9 in the .",private,"KG,1,2,3,4,5,6,7,8,9",4105 Manchaca Rd.,Austin,TX,78704,48453,(512) 447-8516,,Travis,30.231419,-97.787003,,0,www.austinvillageacademy.org,https://www.greatschools.org/texas/austin/24785-Austin-Village-Academy/,,,2.2577159580946224
4800591,480894000368,227901145,Zavala Elementary School,"Zavala Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",310 Robert T Martinez Junior Street,Austin,TX,78702,48453,(512) 414-2318,(512) 477-2361,Travis County,30.258244,-97.719879,Austin Independent School District,115,https://www.austinisd.org/schools/zavala,https://www.greatschools.org/texas/austin/591-Zavala-Elementary-School/,6,2022,2.275559546149353
4802035,481662006091,227910108,Baty Elementary School,"Baty Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Del Valle Independent School District.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",2101 Faro Drive,Austin,TX,78741,48453,(512) 386-3450,(512) 386-3455,Travis County,30.226711,-97.714111,Del Valle Independent School District,315,http://sites.dvisd.net/bes/,https://www.greatschools.org/texas/austin/2035-Baty-Elementary-School/,3,2022,2.277911441957573
4800524,480894000297,227901103,Barton Hills Elementary School,"Barton Hills Elementary School, a public school located in Austin, TX, serves grades PK-6 in the Austin Independent School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5,6",2108 Barton Hills Drive,Austin,TX,78704,48453,(512) 414-2013,(512) 841-3849,Travis County,30.254395,-97.783356,Austin Independent School District,115,http://bheeagles.com/,https://www.greatschools.org/texas/austin/524-Barton-Hills-Elementary-School/,6,2022,2.2924838753774837
4812235,A0503465,,City School,"City School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",1844 Teri Road,Austin,TX,78744,48453,(512) 416-7744,,Travis County,30.204374,-97.754723,,0,www.cityschooltexas.com,https://www.greatschools.org/texas/austin/12235-City-School/,,,2.341274746169237
4810669,A0503492,227133001,Headwaters School,"Headwaters School, a private school located in Austin, TX, serves grades PK-12 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8,9,10,11,12",801 Rio Grande Street,Austin,TX,78701,48453,(512) 480-8142,(512) 480-0278,Travis County,30.271942,-97.748436,,0,http://www.headwaters.org,https://www.greatschools.org/texas/austin/10669-Headwaters-School/,,,2.346342165111164
4807301,01323304,227100109,Cathedral School Of St Mary,"Cathedral School Of St Mary, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",910 San Jacinto Boulevard,Austin,TX,78701,48453,(512) 476-1480,(512) 476-9922,Travis County,30.271042,-97.739441,,0,,https://www.greatschools.org/texas/austin/7301-Cathedral-School-Of-St-Mary/,,,2.36714963898244
4824676,480026412954,227820103,KIPP Austin Obras,"KIPP Austin Obras, a charter school located in Austin, TX, serves grades K-4 in the KIPP Texas Public Schools.It has received a GreatSchools Rating of 7 out of 10, based on a variety of school quality measures.",charter,"KG,1,2,3,4",5107 South Interstate 35 Frontage Road,Austin,TX,78744,48453,(512) 651-2069,(866) 700-5197,Travis County,30.204409,-97.758469,KIPP Texas Public Schools,1322,http://www.kipptexas.org,https://www.greatschools.org/texas/austin/24676-KIPP-Austin-Obras/,7,2022,2.3764621521866105
4810747,480894011060,227901063,Southeast Middle School,"Southeast Middle School, a public school located in Austin, TX, serves grades Ungraded in the Austin Independent School District.",public,UG,1111 West 6th Street,Austin,TX,78703,48453,(512) 414-1700,,Travis County,30.272182,-97.756348,Austin Independent School District,115,,https://www.greatschools.org/texas/austin/10747-SOUTHEAST-MIDDLE/,,,2.391755502255583
4810849,480894005646,227901250,Austin St Hospital,"Austin St Hospital, a public school located in Austin, TX, serves grades PK-12 in the Austin Independent School District.",public,"PK,KG,1,2,3,4,5,6,7,8,9,10,11,12",1111 West 6th Street,Austin,TX,78703,48453,(512) 499-1700,(512) 419-2560,Travis County,30.272182,-97.756348,Austin Independent School District,115,,https://www.greatschools.org/texas/austin/10849-Austin-St-Hospital/,,,2.391755502255583
4820398,480026412837,227820043,Kipp Austin Beacon Prep,"Kipp Austin Beacon Prep, a charter school located in Austin, TX, serves grades 5-8 in the KIPP Texas Public Schools.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",charter,"5,6,7,8",5107 Interstate 35,Austin,TX,78744,48453,(512) 501-3643,(512) 672-6228,Travis County,30.203869,-97.757843,KIPP Texas Public Schools,1322,http://www.kipptexas.org,https://www.greatschools.org/texas/austin/20398-Kipp-Austin-Beacon-Prep/,5,2022,2.4053322480022867
4810329,480025109530,227819101,University Of Texas Elementary Charter School,"University Of Texas Elementary Charter School, a charter school located in Austin, TX, serves grades PK-5 in the University Of Texas Elementary Charter School.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",charter,"PK,KG,1,2,3,4,5",2200 East 6th Street,Austin,TX,78702,48453,(512) 495-3300,(512) 495-9631,Travis County,30.26054,-97.717804,University Of Texas Elementary Charter School,1306,http://www.utexas.edu/provost/elementary/index.html,https://www.greatschools.org/texas/austin/10329-University-Of-Texas-Elementary-Charter-School/,6,2022,2.471212422483751
4809366,480007109072,227806015,George M Kometzky School,"George M Kometzky School, a charter school located in Austin, TX, serves grades K-5 in the University Of Texas University Charter School.",charter,"KG,1,2,3,4,5",2200 East 6th Street,Austin,TX,78702,48453,(512) 791-2270,(512) 232-9177,Travis County,30.26054,-97.717804,University Of Texas University Charter School,70,http://www.utcharter.org,https://www.greatschools.org/texas/austin/9366-George-M-Kometzky-School/,,,2.471212422483751
4824677,480026412954,227820103,KIPP Austin Obras,"KIPP Austin Obras, a charter school located in Austin, TX, serves grades K-4 in the KIPP Texas Public Schools.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",charter,"KG,1,2,3,4",5107 South Interstate 35 Frontage Road,Austin,TX,78744,48453,(512) 651-2168,(866) 700-5197,Travis County,30.202629,-97.756889,KIPP Texas Public Schools,1322,https://kipptexas.org/school/kipp-obras-elementary/,https://www.greatschools.org/texas/austin/24677-KIPP-Austin-Leadership-Elementary-School/,5,2022,2.4792711297799097
4800552,480894000325,227901120,Joslin Elementary School,"Joslin Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",4500 Manchaca Road,Austin,TX,78745,48453,(512) 414-2094,(512) 443-3011,Travis County,30.228043,-97.790359,Austin Independent School District,115,http://www.joslinelementary.org/,https://www.greatschools.org/texas/austin/552-Joslin-Elementary-School/,4,2022,2.5080789019100997
4818851,480894012058,227901177,Uphaus Early Childhood Center,"Uphaus Early Childhood Center, a public school located in Austin, TX, serves grades PK-K in the Austin Independent School District.",public,"PK,KG",5200 Freidrich Lane,Austin,TX,78744,48453,(512) 414-1700,(512) 414-5521,Travis County,30.201891,-97.756187,Austin Independent School District,115,http://uphausearlychildhoodcenter.weebly.com,https://www.greatschools.org/texas/austin/18851-Uphaus-Early-Childhood-Center/,,,2.523044353585942
4800571,480894000344,227901128,Pease Elementary School,"Pease Elementary School, a public school located in Austin, TX, serves grades K-6 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"KG,1,2,3,4,5,6",1106 Rio Grande Street,Austin,TX,78701,48453,(512) 414-4428,(512) 477-3009,Travis County,30.275291,-97.748032,Austin Independent School District,115,www.peaseelementary.weebly.com,https://www.greatschools.org/texas/austin/571-Pease-Elementary-School/,5,2022,2.578540457578883
4808617,480894008392,227901174,Rodriguez Elementary School,"Rodriguez Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",4400 Franklin Park Drive,Austin,TX,78744,48453,(512) 841-7200,(512) 841-7205,Travis County,30.20063,-97.746063,Austin Independent School District,115,,https://www.greatschools.org/texas/austin/8617-Rodriguez-Elementary-School/,4,2022,2.593076664968248
4800527,480894000300,227901105,Blackshear Elementary School,"Blackshear Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 4 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",1712 East 11th Street,Austin,TX,78702,48453,(512) 414-2021,(512) 477-7640,Travis County,30.267042,-97.721855,Austin Independent School District,115,http://www.blackshearyellowjackets.org/,https://www.greatschools.org/texas/austin/527-Blackshear-Elementary-School/,4,2022,2.614891819006549
4800530,480894000303,227901108,Brooke Elementary School,"Brooke Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",3100 East 4th Street,Austin,TX,78702,48453,(512) 414-2043,(512) 385-3862,Travis County,30.254772,-97.708107,Austin Independent School District,115,http://www.brookeelementary.org/,https://www.greatschools.org/texas/austin/530-Brooke-Elementary-School/,5,2022,2.753505412156536
4807474,01326451,,St. Martin's Lutheran School,"St. Martin's Lutheran School, a private school located in Austin, TX, serves grades PK-K in the .",private,"PK,KG",606 W 15th St,Austin,TX,78701,48453,(512) 476-4037,,Travis,30.27895,-97.745735,,0,,https://www.greatschools.org/texas/austin/7474-St.-Martins-Lutheran-School/,,,2.839997949469969
4800559,480894000332,227901123,Mathews Elementary School,"Mathews Elementary School, a public school located in Austin, TX, serves grades PK-6 in the Austin Independent School District.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5,6",906 West Lynn Street,Austin,TX,78703,48453,(512) 414-4406,(512) 476-2108,Travis County,30.278257,-97.760895,Austin Independent School District,115,https://www.mathews360.com/,https://www.greatschools.org/texas/austin/559-Mathews-Elementary-School/,6,2022,2.85646892514944
4800549,480894000322,227901162,Houston Elementary School,"Houston Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 3 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",5409 Ponciana Drive,Austin,TX,78744,48453,(512) 414-2517,(512) 448-4869,Travis County,30.19648,-97.75547,Austin Independent School District,115,http://www.houstonelementary.weebly.com,https://www.greatschools.org/texas/austin/549-Houston-Elementary-School/,3,2022,2.8881625386804526
4820118,,,K12 International Academy,"K12 International Academy, a private school located in Austin, TX, serves grades K-12 in the .",private,"KG,1,2,3,4,5,6,7,8,9,10,11,12",1701 N. Congress Avenue,Austin,TX,78701,48453,(877) 512-7748,,Travis,30.278719,-97.738808,,0,http://ww2.k12.com/cm/?affl=gr8t&page=sp&school=int ,https://www.greatschools.org/texas/austin/20118-K12-International-Academy/,,,2.890484297910945
4810574,A9503951,,Casa Montessori Child Development Center,"Casa Montessori Child Development Center, a private school located in Austin, TX, serves grades PK-K in the .",private,"PK,TK,KG",404 Atlanta Street,Austin,TX,78703,48453,(512) 474-4119,,Travis County,30.276741,-97.771339,,0,,https://www.greatschools.org/texas/austin/10574-Casa-Montessori-Child-Development-Center/,,,2.9647868070140553
4824857,480007113287,227806040,Austin Oaks,"Austin Oaks, a charter school located in Austin, TX, serves grades 2-12 in the University Of Texas University Charter School.",charter,"2,3,4,5,6,7,8,9,10,11,12",1407 West Stassney Lane,Austin,TX,78745,48453,(512) 633-0795,(512) 462-6665,Travis County,30.211666,-97.792274,University Of Texas University Charter School,70,http://www.utcharter.org,https://www.greatschools.org/texas/austin/24857-Austin-Oaks/,,,3.1136206767991847
4807303,01323326,227100103,St Austin Catholic School,"St Austin Catholic School, a private school located in Austin, TX, serves grades PK-8 in the .",private,"PK,TK,KG,1,2,3,4,5,6,7,8",1911 San Antonio Street,Austin,TX,78705,48453,(512) 477-3751,(512) 477-3079,Travis County,30.282972,-97.74292,,0,http://www.staustinschool.org,https://www.greatschools.org/texas/austin/7303-St-Austin-Catholic-School/,,,3.134956193222066
4824651,480021112928,108807135,IDEA Montopolis Academy,"IDEA Montopolis Academy, a charter school located in Austin, TX, serves grades K-5 in the Idea Public Schools.It has received a GreatSchools Rating of 6 out of 10, based on a variety of school quality measures.",charter,"KG,1,2,3,4,5",1701 Vargas Road,Austin,TX,78741,48453,(512) 646-2800,(512) 646-2801,Travis County,30.226124,-97.698997,Idea Public Schools,1268,http://www.ideapublicschools.org,https://www.greatschools.org/texas/austin/24651-IDEA-Montopolis-Academy/,6,2022,3.151119713671443
4820412,482640012434,227912002,Travis County Jjaep,"Travis County Jjaep, a public school located in Austin, TX, serves grades Ungraded in the Lago Vista Independent School District.",public,UG,901 Neal Street,Austin,TX,78702,48453,(512) 267-8300,(512) 267-8330,Travis County,30.268793,-97.709389,Lago Vista Independent School District,581,http://www.lagovistaisd.net,https://www.greatschools.org/texas/austin/20412-TRAVIS-COUNTY-JJAEP/,,,3.2229069059365956
4800568,480894000341,227901156,Odom Elementary School,"Odom Elementary School, a public school located in Austin, TX, serves grades PK-5 in the Austin Independent School District.It has received a GreatSchools Rating of 5 out of 10, based on a variety of school quality measures.",public,"PK,KG,1,2,3,4,5",1010 Turtle Creek Boulevard,Austin,TX,78745,48453,(512) 414-2388,(512) 443-6170,Travis County,30.205418,-97.788879,Austin Independent School District,115,,https://www.greatschools.org/texas/austin/568-Odom-Elementary-School/,5,2022,3.2357146407844213
